G_filename,H_filename,Score,TP,FP,FN,Reversed Edges,Accuracy,Precision,Recall,F1-Score,Depth Deviation,Mean Depth Error
G_1000_80_in_degree_centrality,H_1000_80_in_degree_centrality,in_degree_centrality,330,962,669,323,0.168281,0.255418,0.33033,0.288084,0,0.0
G_1000_80_katz,H_1000_80_katz,katz,553,1197,446,407,0.251821,0.316,0.553554,0.402328,0,0.0
G_1000_80_laplacian_eigenmap,H_1000_80_laplacian_eigenmap,laplacian_eigenmap,417,1381,582,582,0.17521,0.231924,0.417417,0.298177,0,0.0
G_1000_80_local_efficiency,H_1000_80_local_efficiency,local_efficiency,34,54,965,13,0.032289,0.386364,0.034034,0.062557,0,0.0
G_1000_80_normalized_laplacian,H_1000_80_normalized_laplacian,normalized_laplacian,636,1162,363,363,0.294308,0.353726,0.636637,0.454773,0,0.0
G_1000_80_our_degree_centrality,H_1000_80_our_degree_centrality,our_degree_centrality,802,792,197,115,0.447795,0.503137,0.802803,0.618589,0,0.0
G_1000_80_pagerank,H_1000_80_pagerank,pagerank,564,1234,435,435,0.252575,0.313682,0.564565,0.403289,0,0.0
G_1000_80_spectral_centrality,H_1000_80_spectral_centrality,spectral_centrality,738,803,261,181,0.409545,0.47891,0.738739,0.581102,0,0.0
G_1000_80_spectral_clustering,H_1000_80_spectral_clustering,spectral_clustering,243,655,756,253,0.146917,0.270601,0.243243,0.256194,0,0.0
G_1000_80_spectral_radius,H_1000_80_spectral_radius,spectral_radius,0,0,999,0,0.0,0.0,0.0,0.0,0,0.0
G_1000_80_triangle,H_1000_80_triangle,triangle,33,43,966,8,0.03167,0.434211,0.033033,0.061395,0,0.0
G_1000_90,H_1000_90,default,302,697,697,15,0.178066,0.302302,0.302302,0.302302,434669,434.669
G_1000_90_betweenness_centrality,H_1000_90_betweenness_centrality,betweenness_centrality,842,1056,157,157,0.409732,0.443625,0.842843,0.581291,0,0.0
G_1000_90_closeness_centrality,H_1000_90_closeness_centrality,closeness_centrality,619,1279,380,380,0.27173,0.326133,0.61962,0.427339,0,0.0
G_1000_90_clustering_coefficient,H_1000_90_clustering_coefficient,clustering_coefficient,27,48,972,13,0.025788,0.36,0.027027,0.050279,0,0.0
G_1000_90_core_number,H_1000_90_core_number,core_number,383,188,616,18,0.322662,0.670753,0.383383,0.487898,0,0.0
G_1000_90_degree_centrality,H_1000_90_degree_centrality,degree_centrality,770,897,229,138,0.406118,0.461908,0.770771,0.577644,0,0.0
G_1000_90_fiedler_vector,H_1000_90_fiedler_vector,fiedler_vector,645,1253,354,354,0.286412,0.339831,0.645646,0.445288,0,0.0
G_1000_90_hits,H_1000_90_hits,hits,705,1193,294,294,0.321624,0.371444,0.705706,0.48671,0,0.0
G_1000_90_in_degree_centrality,H_1000_90_in_degree_centrality,in_degree_centrality,386,1025,613,309,0.190711,0.273565,0.386386,0.320332,0,0.0
G_1000_90_katz,H_1000_90_katz,katz,591,1283,408,395,0.258983,0.315368,0.591592,0.411417,0,0.0
G_1000_90_laplacian_eigenmap,H_1000_90_laplacian_eigenmap,laplacian_eigenmap,645,1253,354,354,0.286412,0.339831,0.645646,0.445288,0,0.0
G_1000_90_local_efficiency,H_1000_90_local_efficiency,local_efficiency,27,50,972,13,0.025739,0.350649,0.027027,0.050186,0,0.0
G_1000_90_normalized_laplacian,H_1000_90_normalized_laplacian,normalized_laplacian,665,1233,334,334,0.297939,0.350369,0.665666,0.459096,0,0.0
G_1000_90_our_degree_centrality,H_1000_90_our_degree_centrality,our_degree_centrality,794,882,205,118,0.422116,0.473747,0.794795,0.593645,0,0.0
G_1000_90_pagerank,H_1000_90_pagerank,pagerank,592,1306,407,407,0.256833,0.311907,0.592593,0.408699,0,0.0
