2025-03-11 14:06:23,756 - Trial 63: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 606.2869162456193, 'cooling_rate': 0.9914141556647753, 'max_iter': 82600000, 'loss_weights': {'weight': 10.621087892692898, 'community': 9.851183256943859, 'diversity': 7.171758213131049, 'shortcut': 5038.152452029722}, 'resolution': 2.385515429445812}
2025-03-11 14:06:23,758 - Trial 32: F1-score = 0.21681304893350062, Shortcuts = 59, TP = 432, Parameters = {'initial_temp': 474.24787046743336, 'cooling_rate': 0.9949764501337025, 'max_iter': 14100000, 'loss_weights': {'weight': 9.808485986417493, 'community': 11.627897970323623, 'diversity': 10.289870291334754, 'shortcut': 260.76851585048655}, 'resolution': 4.412318630025469}
2025-03-11 14:06:23,821 - Trial 0: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 384.1169447915012, 'cooling_rate': 0.9970857369114637, 'max_iter': 27000000, 'loss_weights': {'weight': 17.375653678594443, 'community': 14.951602542946118, 'diversity': 13.307744564302844, 'shortcut': 6221.671041859844}, 'resolution': 2.0054601607077505}
2025-03-11 14:06:24,735 - Trial 74: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 219.0503855811029, 'cooling_rate': 0.9916296797547531, 'max_iter': 11700000, 'loss_weights': {'weight': 7.087049772361515, 'community': 10.503278217163704, 'diversity': 19.539668139863544, 'shortcut': 9190.921309687657}, 'resolution': 3.9713930919321303}
2025-03-11 14:06:25,595 - Trial 43: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 292.9764639093048, 'cooling_rate': 0.9918142590217756, 'max_iter': 69900000, 'loss_weights': {'weight': 8.050933883415881, 'community': 9.430541668781661, 'diversity': 5.468269433762938, 'shortcut': 7568.593949893627}, 'resolution': 3.998275847103382}
2025-03-11 14:06:26,207 - Trial 56: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 873.2867476774702, 'cooling_rate': 0.9922396438464457, 'max_iter': 4900000, 'loss_weights': {'weight': 7.594362944868739, 'community': 10.483682045326596, 'diversity': 3.6348296138796914, 'shortcut': 2319.9386481312044}, 'resolution': 0.45364540209832616}
2025-03-11 14:06:27,038 - Trial 17: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 135.67928893507948, 'cooling_rate': 0.9956457057192752, 'max_iter': 16000000, 'loss_weights': {'weight': 0.23811401732866236, 'community': 10.531005004054279, 'diversity': 9.399352953631269, 'shortcut': 7294.446505485062}, 'resolution': 3.334271851238325}
2025-03-11 14:06:28,634 - Trial 40: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 176.75062904139418, 'cooling_rate': 0.9951051269572947, 'max_iter': 7400000, 'loss_weights': {'weight': 3.447742468079273, 'community': 11.264086668436224, 'diversity': 4.28408293899827, 'shortcut': 1413.3635668269578}, 'resolution': 2.4327212685508313}
2025-03-11 14:06:28,890 - Trial 34: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 499.3030499963213, 'cooling_rate': 0.9945041649203337, 'max_iter': 59200000, 'loss_weights': {'weight': 14.838306500986524, 'community': 13.274073738053858, 'diversity': 15.668732488885421, 'shortcut': 3640.0997813960653}, 'resolution': 1.795186709878664}
2025-03-11 14:06:29,025 - Trial 83: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 487.2370562638811, 'cooling_rate': 0.990417795038941, 'max_iter': 34100000, 'loss_weights': {'weight': 2.5751253457290044, 'community': 16.90543781668189, 'diversity': 1.8874188354095103, 'shortcut': 7765.440015056919}, 'resolution': 0.4774373128763173}
2025-03-11 14:06:29,251 - Trial 69: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 758.8737607069478, 'cooling_rate': 0.9921573389152426, 'max_iter': 61100000, 'loss_weights': {'weight': 3.3783733152675786, 'community': 15.505014762872374, 'diversity': 14.066833576722223, 'shortcut': 1604.5368490893795}, 'resolution': 4.8424200889427285}
2025-03-11 14:06:30,439 - Trial 76: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 188.72258324495962, 'cooling_rate': 0.990954634659187, 'max_iter': 25500000, 'loss_weights': {'weight': 10.404975040751818, 'community': 15.051518822591623, 'diversity': 15.467895356497309, 'shortcut': 1751.5386271825523}, 'resolution': 1.6971484620374797}
2025-03-11 14:06:32,875 - Trial 54: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 137.33304183431667, 'cooling_rate': 0.9945214171828884, 'max_iter': 94800000, 'loss_weights': {'weight': 15.438746340466647, 'community': 10.823412746669945, 'diversity': 4.730489790208277, 'shortcut': 6031.542616079589}, 'resolution': 3.101559426469206}
2025-03-11 14:06:32,913 - Trial 44: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 572.0115395697615, 'cooling_rate': 0.9927171567565999, 'max_iter': 65500000, 'loss_weights': {'weight': 12.859826759807232, 'community': 17.39480916503938, 'diversity': 9.694957773932135, 'shortcut': 1857.3330000186872}, 'resolution': 0.162875500484777}
2025-03-11 14:06:33,228 - Trial 75: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 554.7943307523235, 'cooling_rate': 0.9904564790949668, 'max_iter': 62200000, 'loss_weights': {'weight': 13.194523245299047, 'community': 19.25083600962076, 'diversity': 2.1151322861825146, 'shortcut': 3342.4233408644373}, 'resolution': 3.8300573621684584}
2025-03-11 14:06:33,414 - Trial 64: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 808.5622140854159, 'cooling_rate': 0.9929982705344745, 'max_iter': 18600000, 'loss_weights': {'weight': 1.4735713420656655, 'community': 10.042500296525073, 'diversity': 9.295408539512094, 'shortcut': 6495.168354939627}, 'resolution': 0.5392285610793407}
2025-03-11 14:06:33,628 - Trial 71: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 713.1610729934499, 'cooling_rate': 0.9910997449963611, 'max_iter': 44400000, 'loss_weights': {'weight': 10.383416093300848, 'community': 4.890711702775772, 'diversity': 11.134126763573311, 'shortcut': 4486.422684944812}, 'resolution': 2.1913485144516454}
2025-03-11 14:06:33,644 - Trial 78: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 696.9127066265426, 'cooling_rate': 0.9927289538268801, 'max_iter': 92100000, 'loss_weights': {'weight': 10.382785646721167, 'community': 19.29418615326875, 'diversity': 6.003052796693379, 'shortcut': 3582.0396601294606}, 'resolution': 2.71512521684684}
2025-03-11 14:06:36,474 - Trial 85: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 693.9082492962094, 'cooling_rate': 0.9941193160552542, 'max_iter': 61900000, 'loss_weights': {'weight': 17.85683003565069, 'community': 1.836782487902916, 'diversity': 18.977458385780608, 'shortcut': 7006.153305939692}, 'resolution': 2.3842885756249377}
2025-03-11 14:06:38,524 - Trial 58: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 509.0549118636325, 'cooling_rate': 0.9946434127725582, 'max_iter': 59800000, 'loss_weights': {'weight': 13.914102794212436, 'community': 14.96741129183359, 'diversity': 17.618669528895964, 'shortcut': 8801.85183431867}, 'resolution': 4.627699110759105}
2025-03-11 14:06:38,706 - Trial 79: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 527.1140892269893, 'cooling_rate': 0.9951985407048309, 'max_iter': 80700000, 'loss_weights': {'weight': 5.028497098935116, 'community': 15.292107919470897, 'diversity': 17.959004182235333, 'shortcut': 7689.295518807462}, 'resolution': 3.1280030416251035}
2025-03-11 14:06:38,820 - Trial 81: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 791.3444301658649, 'cooling_rate': 0.9912591468489231, 'max_iter': 96100000, 'loss_weights': {'weight': 6.968587295689256, 'community': 2.602933112820609, 'diversity': 5.844956524366266, 'shortcut': 6281.811850726791}, 'resolution': 4.155008230280268}
2025-03-11 14:06:39,172 - Trial 86: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 584.5100501621364, 'cooling_rate': 0.9914177859438271, 'max_iter': 75400000, 'loss_weights': {'weight': 16.412641878838333, 'community': 18.16527586795052, 'diversity': 10.036967902039626, 'shortcut': 4417.479760667121}, 'resolution': 3.4006264950939764}
2025-03-11 14:06:40,072 - Trial 82: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 623.9711756897391, 'cooling_rate': 0.9943140768984581, 'max_iter': 31200000, 'loss_weights': {'weight': 2.7837896014245658, 'community': 7.402429819945598, 'diversity': 7.233336098901194, 'shortcut': 9573.001337315938}, 'resolution': 1.2471358630290232}
2025-03-11 14:06:40,309 - Trial 57: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 586.5703608714784, 'cooling_rate': 0.9964343391564415, 'max_iter': 11200000, 'loss_weights': {'weight': 15.74870548318019, 'community': 9.295641909798597, 'diversity': 19.360079596718645, 'shortcut': 2306.9174878113195}, 'resolution': 0.5364299800852689}
2025-03-11 14:06:40,362 - Trial 60: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 426.9400384269402, 'cooling_rate': 0.9962268709379873, 'max_iter': 400000, 'loss_weights': {'weight': 1.9661622042782745, 'community': 2.8245876991733985, 'diversity': 11.407916510201545, 'shortcut': 9547.326344339406}, 'resolution': 2.51401620979771}
2025-03-11 14:06:40,792 - Trial 59: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 508.657260108122, 'cooling_rate': 0.9958781751591063, 'max_iter': 10500000, 'loss_weights': {'weight': 4.514123331061855, 'community': 4.155496733176739, 'diversity': 5.781021657566871, 'shortcut': 7368.403491890812}, 'resolution': 2.823233628207791}
2025-03-11 14:06:41,275 - Trial 66: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 765.84652405699, 'cooling_rate': 0.9948121755339404, 'max_iter': 90100000, 'loss_weights': {'weight': 14.122319405337535, 'community': 13.831341473228488, 'diversity': 5.419030345567786, 'shortcut': 2964.2324112441456}, 'resolution': 4.183514780476594}
2025-03-11 14:06:41,550 - Trial 21: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 452.45361868901335, 'cooling_rate': 0.997344385467715, 'max_iter': 97800000, 'loss_weights': {'weight': 10.188856795500026, 'community': 5.985591418866002, 'diversity': 10.630001946144024, 'shortcut': 4472.491949615646}, 'resolution': 3.240070576264548}
2025-03-11 14:06:41,627 - Trial 73: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 726.8867109392999, 'cooling_rate': 0.9948590525128682, 'max_iter': 64500000, 'loss_weights': {'weight': 8.985842590701026, 'community': 2.5929936966525697, 'diversity': 14.355538267790529, 'shortcut': 3762.900168991611}, 'resolution': 1.3158414243970276}
2025-03-11 14:06:41,735 - Trial 47: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 905.4442200280945, 'cooling_rate': 0.9963408936049558, 'max_iter': 35600000, 'loss_weights': {'weight': 12.08677334762323, 'community': 14.669162833391223, 'diversity': 16.313396450772146, 'shortcut': 6302.61462393888}, 'resolution': 2.0137501916127016}
2025-03-11 14:06:42,173 - Trial 87: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 625.5567371856366, 'cooling_rate': 0.9930129119581742, 'max_iter': 61800000, 'loss_weights': {'weight': 11.56841796179283, 'community': 19.3546250058581, 'diversity': 3.1358957073397047, 'shortcut': 3430.559985844729}, 'resolution': 2.7042583211860856}
2025-03-11 14:06:42,182 - Trial 84: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 190.29493747584806, 'cooling_rate': 0.993712676262933, 'max_iter': 57500000, 'loss_weights': {'weight': 10.048390858639618, 'community': 2.5187964578278432, 'diversity': 2.3133924740204526, 'shortcut': 7839.670662260794}, 'resolution': 3.1098886701964688}
2025-03-11 14:06:44,631 - Trial 37: F1-score = 0.21760633036597432, Shortcuts = 0, TP = 440, Parameters = {'initial_temp': 506.6891892804604, 'cooling_rate': 0.9971371915994139, 'max_iter': 56000000, 'loss_weights': {'weight': 5.886725155631474, 'community': 11.901281844345261, 'diversity': 7.194822046721256, 'shortcut': 2841.0910853020546}, 'resolution': 4.340681003988808}
2025-03-11 14:06:44,638 - Trial 46: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 550.9470515902607, 'cooling_rate': 0.996835215425316, 'max_iter': 46200000, 'loss_weights': {'weight': 17.428959945553704, 'community': 10.277138285577276, 'diversity': 1.1818708263563398, 'shortcut': 5487.17705214075}, 'resolution': 3.7362329174138416}
2025-03-11 14:06:44,918 - Trial 80: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 796.6825285713488, 'cooling_rate': 0.9962273765900732, 'max_iter': 7900000, 'loss_weights': {'weight': 5.441992810586457, 'community': 0.5396415547881277, 'diversity': 4.1132112052211305, 'shortcut': 5786.040346088887}, 'resolution': 3.2528823838853294}
