nohup: ignoring input
Starting simulated annealing
Initial tree generated
Iteration: 1266114, Valid modifications: 174, Effective modifications: 174, Loss: 3273.2360172575823
Iteration: 1272885, Valid modifications: 175, Effective modifications: 175, Loss: 3272.238859763305
Iteration: 1287170, Valid modifications: 176, Effective modifications: 176, Loss: 3272.238859763305
Iteration: 1294923, Valid modifications: 177, Effective modifications: 177, Loss: 3272.238859763305
Iteration: 1309891, Valid modifications: 178, Effective modifications: 178, Loss: 3272.238859763305
Iteration: 1318122, Valid modifications: 179, Effective modifications: 179, Loss: 3272.238859763305
Iteration: 1319026, Valid modifications: 180, Effective modifications: 180, Loss: 3272.238859763305
Iteration: 1324272, Valid modifications: 181, Effective modifications: 181, Loss: 3272.238544870296
Iteration: 1332874, Valid modifications: 182, Effective modifications: 182, Loss: 3272.238544870296
Iteration: 1338482, Valid modifications: 183, Effective modifications: 183, Loss: 3271.2385448794766
Iteration: 1345882, Valid modifications: 184, Effective modifications: 184, Loss: 3271.2385448794766
Iteration: 1362716, Valid modifications: 185, Effective modifications: 185, Loss: 3271.2385448794766
Iteration: 1387053, Valid modifications: 186, Effective modifications: 186, Loss: 3271.2385448794766
Iteration: 1387303, Valid modifications: 187, Effective modifications: 187, Loss: 3271.2306124538654
Iteration: 1387773, Valid modifications: 188, Effective modifications: 188, Loss: 3271.2302951518914
Iteration: 1401263, Valid modifications: 189, Effective modifications: 189, Loss: 3271.2251399852544
Iteration: 1402699, Valid modifications: 190, Effective modifications: 190, Loss: 3270.22164959273
Iteration: 1412980, Valid modifications: 191, Effective modifications: 191, Loss: 3270.22164959273
Iteration: 1428534, Valid modifications: 192, Effective modifications: 192, Loss: 3269.221966902096
Iteration: 1431349, Valid modifications: 193, Effective modifications: 193, Loss: 3269.221966902096
Iteration: 1444172, Valid modifications: 194, Effective modifications: 194, Loss: 3269.221966902096
Iteration: 1445626, Valid modifications: 195, Effective modifications: 195, Loss: 3269.221966902096
Iteration: 1460310, Valid modifications: 196, Effective modifications: 196, Loss: 3269.221966902096
Iteration: 1463315, Valid modifications: 197, Effective modifications: 197, Loss: 3269.221966902096
Iteration: 1486039, Valid modifications: 198, Effective modifications: 198, Loss: 3269.221966902096
Iteration: 1486110, Valid modifications: 199, Effective modifications: 199, Loss: 3269.221966902096
Iteration: 1491150, Valid modifications: 200, Effective modifications: 200, Loss: 3268.224190660977
Iteration: 1494325, Valid modifications: 201, Effective modifications: 201, Loss: 3268.2241906609565
Iteration: 1511483, Valid modifications: 202, Effective modifications: 202, Loss: 3267.2245079702298
Iteration: 1513388, Valid modifications: 203, Effective modifications: 203, Loss: 3267.2153062339053
Iteration: 1532124, Valid modifications: 204, Effective modifications: 204, Loss: 3267.2153062339053
Iteration: 1540822, Valid modifications: 205, Effective modifications: 205, Loss: 3267.2153062339053
Iteration: 1541037, Valid modifications: 206, Effective modifications: 206, Loss: 3267.2153062339053
Iteration: 1555531, Valid modifications: 207, Effective modifications: 207, Loss: 3267.2153062339053
Iteration: 1570179, Valid modifications: 208, Effective modifications: 208, Loss: 3267.2153062339053
Iteration: 1572812, Valid modifications: 209, Effective modifications: 209, Loss: 3267.2153062339053
Iteration: 1574006, Valid modifications: 210, Effective modifications: 210, Loss: 3267.2153062339053
Iteration: 1582531, Valid modifications: 211, Effective modifications: 211, Loss: 3267.2153062339053
Iteration: 1592049, Valid modifications: 212, Effective modifications: 212, Loss: 3267.2153062339053
Iteration: 1592190, Valid modifications: 213, Effective modifications: 213, Loss: 3267.2153062339053
Iteration: 1613433, Valid modifications: 214, Effective modifications: 214, Loss: 3267.2153062339053
Iteration: 1626588, Valid modifications: 215, Effective modifications: 215, Loss: 3267.2153062339053
Iteration: 1628117, Valid modifications: 216, Effective modifications: 216, Loss: 3267.2153062339053
Iteration: 1641793, Valid modifications: 217, Effective modifications: 217, Loss: 3267.2153062339053
Iteration: 1651516, Valid modifications: 218, Effective modifications: 218, Loss: 3267.2153062339053
Iteration: 1652155, Valid modifications: 219, Effective modifications: 219, Loss: 3267.2153062339053
Iteration: 1661843, Valid modifications: 220, Effective modifications: 220, Loss: 3267.2153062339053
